CHHSI,COMPARE HALFWORD IMMEDIATE (1616),SIL,C,GE,,A,,,,B1,,E554,7-133,,,
CHI,COMPARE HALFWORD IMMEDIATE (3216),RI-a,C,,,,,,,,,A7E,7-133,,,
CHLR,COMPARE HIGH (32),RRE,C,HW,,,,,,,,B9DD,7-134,,,
CHRL,COMPARE HALFWORD RELATIVE LONG (3216),RIL-b,C,GE,,A*,,,,,,C65,7-133,,,
CHSI,COMPARE HALFWORD IMMEDIATE (3216),SIL,C,GE,,A,,,,B1,,E55C,7-133,,,
CHY,COMPARE HALFWORD (3216),RXY-a,C,LD,,A,,,,,B2,E379,7-133,,,
CIB,COMPARE IMMEDIATE AND BRANCH (328),RIS,,GE,¤9,,,,,B,,ECFE,7-119,,,
CIH,COMPARE IMMEDIATE HIGH (32),RIL-a,C,HW,,,,,,,,CCD,7-134,,,
CIJ,COMPARE IMMEDIATE AND BRANCH RELATIVE,RIE-c,,GE,¤10,,,,,B,,EC7E,7-119,,,
CIT,COMPARE IMMEDIATE AND TRAP (3216),RIE-a,,GE,,,,,Dc,,,EC72,7-132,,,
CKSM,CHECKSUM,RRE,C,,¤9,A,SP IC,,,,R2,B241,7-47,,,
CL,COMPARE LOGICAL (32),RX-a,C,,,A,,,,,B2,55,7-135,,,
CLC,COMPARE LOGICAL (character),SS-a,C,,¤9,A,,,,B1,B2,D5,7-135,,,
CLCL,COMPARE LOGICAL LONG,RR,C,,¤9,A,SP,II,,R1,R2,0F,7-141,,,
CLCLE,COMPARE LOGICAL LONG EXTENDED,RS-a,C,,¤9,A,SP,IC,,R1,R3,A9,7-143,,,
CLCLU,COMPARE LOGICAL LONG UNICODE,RSY-a,C,E2,¤9,A,SP,IC,,R1,R2,EB8F,7-146,,,
CLFDBR,CONVERT TO LOGICAL (long BFP to 32),RRF-e,C,F,"¤7,9",,SP,Db,Xi,Xx,,B39D,19-25,,,
CLFDTR,CONVERT TO LOGICAL (long DFP to 32),RRF-e,C,F,"¤7,9",,,Dt,Xi,Xx,,B943,20-31,,,
CLFEBR,CONVERT TO LOGICAL (short BFP to 32),RRF-e,C,F,"¤7,9",,SP Db,,Xi,Xx,,B39C,19-25,,,
CLFHSI,COMPARE LOGICAL IMMEDIATE (3216),SIL,C,GE,,A,,,,B1,,E55D,7-135,,,
CLFI,COMPARE LOGICAL IMMEDIATE (32),RIL-a,C,EI,,,,,,,,C2F,7-135,,,
CLFIT,COMPARE LOGICAL IMMEDIATE AND TRAP,RIE-a,,GE,,,,,Dc,,,EC73,7-139,,,
CLFXBR,CONVERT TO LOGICAL (extended BFP to 32),RRF-e,C,F,"¤7,9",,SP Db,,Xi,Xx,,B39E,19-25,,,
